,City,Lattitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.03,25.76,78,4,10.65,PF,1601619564
1,klaksvik,62.23,-6.59,13.0,76,89,8.7,FO,1601619844
2,kodiak,57.79,-152.41,10.0,87,90,11.3,US,1601619845
3,tasiilaq,65.61,-37.64,2.0,74,100,12.9,GL,1601619818
4,kabompo,-13.59,24.2,24.93,39,0,2.01,ZM,1601619845
5,seymchan,62.88,152.43,7.18,59,11,0.67,RU,1601619846
6,fort nelson,52.65,6.39,8.33,94,72,4.02,NL,1601619846
7,jamestown,42.1,-79.24,7.78,93,1,3.1,US,1601619846
8,georgetown,5.41,100.34,28.0,78,20,2.1,MY,1601619605
9,hervey bay,33.5,-93.78,15.0,67,1,2.1,US,1601619847
10,cap malheureux,49.27,-1.21,12.22,100,90,9.8,FR,1601619847
11,biak,-0.91,122.88,28.6,71,70,4.83,ID,1601619847
12,busselton,-33.65,115.33,16.11,38,43,7.74,AU,1601619847
13,poum,-20.23,164.02,22.84,65,100,4.61,NC,1601619564
14,talnakh,69.49,88.4,2.0,100,90,4.0,RU,1601619848
15,yertsevo,60.8,40.09,10.37,75,98,1.9,RU,1601619848
16,puerto escondido,36.59,-6.23,19.0,72,40,4.6,ES,1601619848
17,acapulco,16.86,-99.89,26.72,79,91,2.05,MX,1601619607
18,gopalpur,19.27,84.92,30.04,71,95,2.98,IN,1601619849
19,itarema,-2.92,-39.92,25.78,81,59,7.25,BR,1601619849
20,upernavik,72.79,-56.15,-5.24,91,4,5.66,GL,1601619849
21,port alfred,-7.03,29.76,26.28,60,2,3.03,CD,1601619849
22,punta arenas,8.99,125.34,30.39,64,96,3.17,PH,1601619850
23,mahebourg,-20.41,57.7,26.0,61,40,3.1,MU,1601619550
24,oranjemund,-28.55,16.43,13.56,75,6,6.53,NA,1601619850
25,saint-philippe,-21.36,55.77,26.0,65,4,3.1,RE,1601619850
26,bambous virieux,-20.26,57.41,26.0,61,40,3.1,MU,1601619850
27,manjacaze,-24.71,33.88,21.82,84,98,4.39,MZ,1601619851
28,rikitea,-23.12,-134.97,22.79,78,3,8.61,PF,1601619564
29,ushuaia,-54.8,-68.3,-1.0,100,75,12.9,AR,1601619851
30,hobart,-42.88,147.33,20.0,34,16,10.3,AU,1601619721
31,sanandaj,35.31,46.99,22.57,27,0,1.24,IR,1601619852
32,souillac,-20.52,57.52,26.0,61,40,3.1,MU,1601619852
33,bredasdorp,-34.53,20.04,13.0,82,93,6.7,ZA,1601619852
34,selizharovo,56.85,33.45,10.64,67,84,3.4,RU,1601619852
35,hilo,19.73,-155.09,27.0,78,90,2.6,US,1601619692
36,nikolskoye,59.7,30.79,10.0,81,46,4.0,RU,1601619853
37,gold coast,35.79,-81.76,13.89,93,40,1.16,US,1601619853
38,amurzet,47.7,131.1,10.36,91,96,7.31,RU,1601619832
39,avarua,-21.21,-159.78,24.0,88,3,5.7,CK,1601619853
40,mataura,-46.19,168.86,16.11,55,100,6.26,NZ,1601619854
41,salalah,17.02,54.09,30.0,55,7,1.0,OM,1601619854
42,vestmannaeyjar,63.44,-20.27,6.87,70,1,2.54,IS,1601619854
43,bethel,41.37,-73.41,15.0,72,90,1.08,US,1601619854
44,kaeo,-35.1,173.78,14.44,71,98,0.89,NZ,1601619855
45,minjur,13.27,80.27,34.0,52,32,3.6,IN,1601619855
46,lebu,-37.62,-73.65,6.91,85,6,3.88,CL,1601619855
47,luderitz,-26.65,15.16,12.58,63,0,2.18,NA,1601619855
48,puerto ayora,36.59,-6.23,19.0,72,40,4.6,ES,1601619855
49,san ramon,13.3,-4.9,25.1,80,100,2.49,ML,1601619692
50,paracale,14.28,122.79,30.36,68,100,3.19,PH,1601619856
51,hermanus,-34.42,19.23,12.78,85,68,2.24,ZA,1601619856
52,kindu,-2.95,25.95,23.21,86,96,0.88,CD,1601619857
53,burnie,-41.07,145.92,17.22,52,34,3.13,AU,1601619857
54,oistins,13.07,-59.53,28.0,78,20,4.6,BB,1601619857
55,redcliffe,-27.23,153.1,26.11,50,0,4.6,AU,1601619857
56,bukama,-9.2,25.85,26.12,66,47,1.58,CD,1601619858
57,faanui,-16.48,-151.75,26.22,78,23,9.67,PF,1601619564
58,tuktoyaktuk,69.45,-133.04,5.0,93,90,5.1,CA,1601619858
59,faya,18.39,42.45,26.0,16,6,3.1,SA,1601619858
60,ribeira grande,42.75,-8.44,10.0,93,75,3.1,ES,1601619859
61,vaini,-21.2,-175.2,23.39,85,96,10.48,TO,1601619859
62,arraial do cabo,-22.84,-46.65,28.0,39,80,2.1,BR,1601619859
63,bluff,-46.6,168.33,16.11,55,98,6.26,NZ,1601619859
64,vokhma,58.93,46.76,12.05,79,87,1.41,RU,1601619859
65,pevek,69.7,170.31,2.12,81,96,5.38,RU,1601619860
66,jieshi,22.81,115.83,30.56,65,7,7.38,CN,1601619860
67,stornoway,58.21,-6.39,11.0,100,75,1.5,GB,1601619860
68,pitea,65.32,21.48,9.0,100,90,1.0,SE,1601619860
69,yellowknife,62.46,-114.35,5.0,86,40,3.1,CA,1601619860
70,kahului,20.89,-156.47,28.0,74,40,4.1,US,1601619861
71,castro,-24.79,-50.01,21.16,48,3,0.91,BR,1601619861
72,weyburn,49.67,-103.85,4.44,71,83,2.24,CA,1601619861
73,sembe,1.65,14.58,21.93,90,68,0.8,CG,1601619861
74,kalmunai,7.42,81.82,31.89,48,88,1.08,LK,1601619861
75,lagoa,39.05,-27.98,19.82,82,100,7.03,PT,1601619862
76,datong,40.09,113.29,14.22,32,0,5.24,CN,1601619842
77,victoria,22.29,114.16,29.44,72,21,0.89,HK,1601619745
78,hay river,52.07,-3.13,10.0,95,100,0.89,GB,1601619862
79,champerico,14.3,-91.92,18.33,96,100,1.15,GT,1601619863
80,tuatapere,-46.13,167.68,16.11,55,83,6.26,NZ,1601619861
81,kiranur,10.57,78.79,32.0,55,20,4.6,IN,1601619863
82,albany,42.6,-73.97,12.22,70,36,1.3,US,1601619863
83,port-gentil,-0.72,8.78,26.0,78,40,4.6,GA,1601619863
84,ketchikan,55.34,-131.65,13.0,100,90,2.6,US,1601619864
85,chernyshevskiy,63.01,112.47,1.89,77,32,4.74,RU,1601619828
86,qaanaaq,77.48,-69.36,-8.23,82,88,2.79,GL,1601619864
87,pinsk,52.12,26.1,11.73,91,97,6.29,BY,1601619864
88,katangli,51.71,143.23,11.35,64,3,2.68,RU,1601619865
89,itoman,26.12,127.67,30.0,58,20,7.2,JP,1601619582
90,kaitangata,-46.28,169.85,13.89,72,93,0.89,NZ,1601619865
91,camopi,3.17,-52.32,22.0,97,70,0.4,GF,1601619865
92,coquimbo,-29.95,-71.34,9.0,87,3,2.0,CL,1601619866
93,cape town,-36.41,-71.9,4.0,100,0,3.1,CL,1601619866
94,new norfolk,6.65,-10.59,22.68,97,100,0.84,LR,1601619866
95,pangnirtung,66.15,-65.71,-4.24,84,8,2.67,CA,1601619866
96,chara,56.91,118.26,2.63,80,100,2.03,RU,1601619866
97,east london,65.0,-15.0,1.0,80,75,2.1,IS,1601619867
98,berlevag,70.86,29.09,6.0,81,75,1.5,NO,1601619867
99,xai-xai,-25.05,33.64,21.41,88,98,6.11,MZ,1601619867
100,matara,5.95,80.54,29.78,66,73,6.3,LK,1601619868
101,karagay,58.27,54.94,12.96,82,60,2.09,RU,1601619868
102,saskylakh,71.92,114.08,-2.44,96,100,10.68,RU,1601619868
103,kaseda,31.42,130.32,27.0,42,20,1.5,JP,1601619805
104,khatanga,71.97,102.5,-0.6,97,100,7.52,RU,1601619869
105,tura,25.52,90.22,28.1,88,98,1.45,IN,1601619869
106,ansalta,42.69,46.12,17.34,49,100,1.17,RU,1601619869
107,chokurdakh,70.63,147.92,-0.24,95,100,1.86,RU,1601619869
108,tiksi,71.69,128.87,-2.02,94,52,6.91,RU,1601619870
109,natal,-5.79,-35.21,22.0,94,40,1.5,BR,1601619870
110,butaritari,3.07,172.79,27.4,70,11,6.76,KI,1601619870
111,griffith,41.53,-87.42,7.0,100,1,1.5,US,1601619870
112,kasaragod,12.5,75.0,28.0,78,75,3.1,IN,1601619870
113,kushima,31.46,131.23,27.0,65,20,4.1,JP,1601619865
114,mandapam,9.28,79.12,28.38,72,100,5.73,IN,1601619871
115,zabol,32.25,67.25,18.84,23,0,4.6,AF,1601619872
116,san cristobal,13.3,-4.9,25.1,80,100,2.49,ML,1601619825
117,tefe,-3.35,-64.71,22.73,95,96,0.25,BR,1601619873
118,thompson,55.74,-97.86,0.0,84,75,0.42,CA,1601619874
119,mao,39.89,4.27,22.0,88,40,7.7,ES,1601619874
120,barrow,71.29,-156.79,1.0,86,90,7.7,US,1601619708
121,rudsar,37.14,50.29,23.0,69,75,2.1,IR,1601619875
122,carnarvon,-24.87,113.63,23.0,60,75,4.6,AU,1601619876
123,jalu,29.03,21.55,26.67,37,0,4.71,LY,1601619877
124,kruisfontein,-34.0,24.73,15.56,67,100,2.68,ZA,1601619878
125,moengo,5.62,-54.4,23.28,94,78,0.35,SR,1601619878
126,ancud,-41.87,-73.82,3.33,82,19,2.6,CL,1601619879
127,chiredzi,-21.05,31.67,22.02,77,94,4.82,ZW,1601619880
128,kapaa,22.08,-159.32,26.0,78,1,2.1,US,1601619881
129,avera,33.19,-82.53,17.0,88,1,3.1,US,1601619881
130,green valley,40.95,-81.48,7.0,81,20,3.1,US,1601619882
131,nanortalik,60.14,-45.24,4.18,89,100,6.52,GL,1601619882
132,bure,10.7,37.07,17.39,78,37,1.77,ET,1601619883
133,praia,14.92,-23.51,26.0,74,79,5.7,CV,1601619884
134,basco,20.45,121.97,27.82,70,0,7.52,PH,1601619885
135,pithapuram,17.12,82.27,31.0,66,90,3.6,IN,1601619886
136,hasaki,35.73,140.83,27.22,64,20,3.6,JP,1601619886
137,santa cruz,17.49,120.43,29.89,74,87,3.06,PH,1601619887
138,santa maria,17.49,120.43,29.89,74,87,3.06,PH,1601619888
139,norman wells,35.22,-97.44,12.22,50,40,3.01,US,1601619747
140,moerai,-22.43,-151.33,24.23,85,80,6.19,PF,1601619889
141,viedma,-40.81,-63.0,5.45,63,100,4.43,AR,1601619890
142,touros,-5.2,-35.46,22.0,94,40,1.5,BR,1601619890
143,dunedin,-45.87,170.5,12.78,70,72,1.34,NZ,1601619891
144,carballo,43.21,-8.69,11.0,76,40,7.7,ES,1601619748
145,ulladulla,-35.35,150.47,27.0,22,0,5.1,AU,1601619892
146,peniche,39.36,-9.38,18.89,91,100,6.26,PT,1601619893
147,tilichiki,60.47,166.1,4.81,71,90,8.03,RU,1601619893
148,flinders,-34.58,150.86,24.44,54,0,1.34,AU,1601619894
149,longyearbyen,78.22,15.64,0.0,91,75,1.5,SJ,1601619778
